id,nombre,apellido,edad,Genero,promedio_estadistica,promedio_matematica,promedio_programacion,promedio_bigdata,promedio_ofimatica,faltas_estadistica,faltas_matematica,faltas_programacion,faltas_bigdata,faltas_ofimatica,estilo_aprendizaje,metodos_estudio,horas_diarias_estudio,participacion_clases,acceso_recursos_tecnologicos,acceso_internet,motivacion_carrera,objetivos_academicos,estres,satisfaccion_ensenanza,actitud_hacia_tecnologia
1,Marlo,Gaggen,24,Male,9.67,9.2,4.76,5.7,5.9,0.42,0.44,0.14,0.7,0.98,otro,flashcards,3,true,true,true,true,true,true,false,false
2,Diann,Fever,33,Female,8.41,9.36,5.05,8.91,7.77,0.96,0.26,0.85,0.22,0.48,visual,enseñanza a otros,5,false,true,false,false,true,true,false,false
3,Gibbie,Rathmell,26,Male,5.19,6.9,8.89,9.01,9.85,0.71,0.51,0.07,0.91,0.43,auditivo,autoevaluación y pruebas prácticas,5,true,false,false,true,true,true,false,true
4,Yuri,Andreacci,22,Male,9.46,8.55,5.0,9.59,4.08,0.27,0.0,0.19,0.67,0.96,otro,uso de tecnología,5,true,true,true,false,false,false,false,false
5,Armstrong,Shear,33,Male,7.22,2.29,2.62,1.36,5.61,0.32,0.77,0.17,0.92,0.2,kinestésico,uso de tecnología,1,false,true,false,false,true,false,true,false
6,Claus,Luther,34,Male,1.91,5.11,4.95,3.77,5.92,0.98,0.05,0.73,0.51,0.12,otro,enseñanza a otros,6,true,true,true,true,true,true,false,true
7,Templeton,Purches,36,Male,1.49,1.73,3.24,3.53,1.19,0.98,0.6,0.53,0.87,0.1,kinestésico,lectura activa,6,true,false,true,false,false,true,true,false
8,Marlin,Hobden,34,Male,7.43,0.08,4.43,1.84,4.18,0.22,0.08,0.43,0.73,0.38,auditivo,mapas mentales,3,true,false,false,true,false,false,true,false
9,Deloria,Vanyakin,36,Female,4.57,0.58,0.0,5.99,1.7,0.02,0.98,0.62,0.76,0.48,kinestésico,técnica Pomodoro,1,true,false,false,true,true,false,true,true
10,Darsey,Maren,18,Female,4.58,1.72,8.1,1.76,8.32,0.65,0.19,0.14,0.23,0.66,visual,autoevaluación y pruebas prácticas,2,false,false,false,true,true,false,true,true
11,Windy,Bollom,28,Female,9.43,7.28,0.54,2.29,8.71,0.16,0.72,0.03,0.42,0.99,kinestésico,autoevaluación y pruebas prácticas,1,true,false,false,true,false,true,true,false
12,Rodie,Neilus,20,Female,1.04,0.16,3.06,1.52,8.75,0.03,0.15,0.52,0.92,0.63,auditivo,lectura activa,5,true,true,false,false,true,true,false,true
13,Mame,Robbings,32,Female,1.33,1.36,9.04,1.84,4.51,0.86,0.92,0.03,0.51,0.67,auditivo,Toma de apuntes,6,false,true,false,false,false,true,false,false
14,Page,Howorth,40,Female,1.0,9.06,4.49,1.0,3.55,0.89,0.56,0.47,0.25,0.25,otro,enseñanza a otros,5,true,false,false,true,false,true,false,true
15,Christian,Ludovici,39,Female,5.48,1.35,3.18,3.27,3.65,0.49,0.9,0.97,0.42,0.32,visual,autoevaluación y pruebas prácticas,1,true,true,false,true,false,false,true,false
16,See,Martensen,36,Male,0.44,3.2,5.6,1.67,1.06,0.26,0.97,0.85,0.24,0.32,Lectura/Escritura,flashcards,8,false,true,false,false,true,true,true,false
17,Alphonse,Tomkowicz,30,Male,4.23,7.42,1.07,1.12,0.44,0.26,0.72,0.78,0.04,0.12,visual,enseñanza a otros,2,true,false,true,true,false,true,false,true
18,Carlotta,Milmo,24,Female,5.1,9.64,3.44,3.2,2.95,0.99,0.69,0.16,0.16,0.75,visual,lectura activa,2,false,true,false,false,true,true,true,false
19,Melba,Sharpin,28,Female,2.66,5.27,7.29,9.69,7.02,0.64,0.41,0.76,0.06,0.11,kinestésico,Toma de apuntes,3,true,true,true,false,false,true,false,false
20,Marven,Dadswell,33,Male,8.25,2.84,5.04,6.89,1.43,0.61,0.41,0.38,0.76,0.82,visual,autoevaluación y pruebas prácticas,8,false,false,false,true,false,false,false,false
21,Rodrique,Bailie,32,Male,9.1,1.48,1.58,2.2,8.15,0.31,0.11,0.67,0.12,0.3,visual,grupos de estudio,4,false,false,false,true,false,false,true,false
22,Simona,Fetherby,31,Female,2.53,5.59,8.9,0.56,7.59,0.47,0.93,0.22,1.0,0.77,kinestésico,técnica Pomodoro,4,false,true,true,true,false,false,true,false
23,Theadora,Jonas,38,Female,8.29,7.67,8.0,3.2,0.9,0.47,0.04,0.94,0.27,0.13,kinestésico,mapas mentales,6,false,false,true,true,true,false,false,true
24,Giacomo,Peppin,36,Male,0.28,9.03,6.52,7.52,0.8,0.39,0.47,0.09,0.77,0.76,otro,lectura activa,8,false,false,true,true,true,false,true,false
25,Sarajane,Mila,23,Female,7.25,8.8,6.67,9.85,0.72,0.78,0.95,0.32,0.04,0.72,Lectura/Escritura,autoevaluación y pruebas prácticas,7,false,false,false,true,true,true,true,true
26,Liuka,Younger,26,Female,4.59,7.38,4.78,8.5,2.66,0.69,0.27,0.77,0.58,0.85,kinestésico,flashcards,6,true,true,false,false,true,false,true,true
27,Collen,Jelf,31,Female,1.62,0.25,9.16,5.31,0.87,0.95,0.92,0.26,0.08,0.05,Lectura/Escritura,autoevaluación y pruebas prácticas,3,true,true,true,true,true,true,true,false
28,Arleen,Pylkynyton,38,Female,4.28,7.11,5.39,6.38,4.63,0.68,0.02,0.91,0.13,0.91,otro,enseñanza a otros,1,false,true,false,true,false,true,true,true
29,Arvin,Menichi,33,Male,8.4,7.5,7.77,1.85,9.02,0.28,0.75,0.04,0.41,0.92,kinestésico,flashcards,1,true,true,false,false,true,false,false,false
30,Jeannie,Lahive,32,Female,2.68,4.05,2.02,3.57,6.17,0.17,0.87,0.22,0.27,0.84,otro,lectura activa,6,true,false,false,false,true,false,true,false
31,Gwenni,Panting,32,Female,8.42,3.17,9.08,9.34,4.67,0.43,0.33,0.32,0.89,0.57,Multimodal,autoevaluación y pruebas prácticas,5,false,false,false,true,true,true,true,false
32,Leeland,Stearn,25,Male,0.7,8.82,1.72,8.77,4.08,0.98,0.23,0.83,0.6,0.59,Lectura/Escritura,lectura activa,1,false,false,false,true,true,true,false,false
33,Ervin,Dilliway,21,Male,9.98,0.99,2.96,4.18,2.08,0.59,0.47,0.27,0.47,0.56,Multimodal,mapas mentales,3,false,false,true,true,true,false,true,true
34,Cacilie,Nibley,33,Female,4.61,9.3,6.14,2.33,9.41,0.44,0.02,0.83,0.26,0.29,Lectura/Escritura,otro,4,true,false,false,false,true,false,false,true
35,Vida,Viant,33,Female,3.41,1.98,6.24,9.32,4.1,0.35,0.16,0.09,0.83,0.91,visual,autoevaluación y pruebas prácticas,3,false,false,false,false,false,false,true,false
36,Hillard,Tick,37,Male,9.57,1.05,3.77,3.86,8.02,0.08,0.91,0.16,0.45,0.84,kinestésico,resúmenes,2,false,true,false,false,false,false,false,false
37,Inglebert,Kyd,32,Male,9.14,4.43,8.33,9.74,0.24,0.31,0.66,0.1,0.08,0.18,Lectura/Escritura,resúmenes,1,false,true,true,false,false,false,false,true
38,Reginald,McKniely,24,Male,0.5,7.03,3.57,3.27,1.91,0.45,0.19,0.05,0.99,0.31,auditivo,autoevaluación y pruebas prácticas,4,false,false,true,false,true,false,false,false
39,Bordie,Huscroft,37,Male,1.46,9.04,5.67,9.45,2.17,0.93,0.29,0.35,0.45,0.89,Multimodal,técnica Pomodoro,3,true,true,false,true,true,false,false,true
40,Ax,Hawkridge,20,Male,8.83,0.16,4.31,2.01,7.52,0.09,0.88,0.47,0.45,0.2,visual,mapas mentales,3,true,true,false,true,false,true,true,true
41,Shep,Cuerda,39,Male,9.13,0.54,1.85,2.19,0.27,0.27,0.47,0.96,0.07,0.84,otro,técnica Pomodoro,8,true,true,true,true,true,true,true,true
42,Gabbie,Georgi,18,Female,8.76,0.57,5.3,6.06,5.09,0.73,0.97,0.87,0.08,0.21,kinestésico,resúmenes,0,true,true,false,true,false,true,false,true
43,Burton,Yeend,26,Male,6.51,9.07,5.2,8.46,2.67,0.1,0.36,0.74,0.19,0.62,auditivo,uso de tecnología,3,false,false,true,true,true,true,true,false
44,Lilian,Dauby,33,Female,6.36,3.21,6.32,4.02,9.18,0.09,0.9,0.83,0.77,0.07,Multimodal,grupos de estudio,5,true,true,false,false,true,false,true,false
45,Hamish,Murley,29,Male,9.11,3.94,0.3,9.18,0.21,0.97,0.8,0.08,0.56,0.56,kinestésico,otro,3,false,false,false,true,true,false,true,false
46,Mattias,Searle,22,Male,9.34,0.93,5.06,0.28,5.03,0.77,0.15,0.49,0.56,0.17,otro,autoevaluación y pruebas prácticas,3,true,false,false,false,true,false,false,false
47,Kayley,Ungaretti,21,Female,0.25,3.67,0.31,1.25,8.65,0.01,0.54,0.06,0.27,0.38,Lectura/Escritura,resúmenes,2,false,true,true,false,false,false,true,false
48,Asa,Rodliff,23,Male,2.47,2.69,2.02,5.13,6.09,0.96,0.62,0.2,0.83,0.17,kinestésico,enseñanza a otros,5,false,true,false,true,true,false,false,false
49,Bogey,Emons,24,Male,0.26,9.88,5.53,7.1,6.69,0.73,0.39,0.56,0.91,0.86,visual,mapas mentales,6,false,false,false,true,true,true,false,true
50,Marysa,Shiril,29,Female,6.85,9.13,0.18,7.95,9.86,0.48,0.65,0.54,0.46,0.98,kinestésico,lectura activa,3,false,false,false,true,false,false,false,true
51,Ania,Setchell,21,Female,8.64,4.49,3.41,2.64,4.72,0.7,0.51,0.82,0.3,0.95,kinestésico,resúmenes,3,true,true,false,true,true,true,true,false
52,Cassy,Vasquez,39,Female,4.69,8.94,3.07,0.21,4.17,0.66,0.22,0.67,0.4,0.79,kinestésico,autoevaluación y pruebas prácticas,6,true,false,false,true,false,true,true,true
53,Annnora,Smurfitt,28,Female,4.81,1.79,1.5,5.11,6.8,0.83,0.55,0.1,0.9,0.13,Multimodal,flashcards,5,false,true,false,false,true,true,true,false
54,Idette,Lesley,25,Female,7.11,0.3,0.37,9.82,3.07,0.48,0.3,0.23,0.54,0.34,Multimodal,autoevaluación y pruebas prácticas,1,true,false,true,true,true,true,true,false
55,Hetty,Bandiera,40,Female,4.42,7.55,3.74,8.53,7.95,0.94,0.27,0.98,0.45,0.02,auditivo,uso de tecnología,6,false,false,false,false,false,true,false,false
56,Brana,Gribble,21,Female,7.72,1.11,5.42,8.51,3.27,0.14,0.43,0.89,0.16,0.46,auditivo,uso de tecnología,7,true,false,false,true,false,false,false,false
57,Immanuel,Parsonson,26,Male,0.31,2.43,2.87,6.77,1.9,0.91,0.65,0.87,0.01,0.66,Lectura/Escritura,uso de tecnología,4,true,false,false,true,true,false,true,true
58,Shoshanna,Caselick,40,Female,1.35,6.95,0.53,2.43,2.82,0.01,0.9,0.92,0.04,0.23,auditivo,lectura activa,7,true,false,true,true,true,true,false,false
59,Amalia,Klewer,40,Female,3.51,5.54,0.47,1.26,9.22,0.64,0.79,0.27,0.99,0.48,Lectura/Escritura,uso de tecnología,2,false,false,false,false,false,true,true,true
60,Janie,Garrand,25,Female,5.77,9.58,3.22,1.38,4.45,0.98,0.78,0.2,0.3,0.18,auditivo,grupos de estudio,3,true,true,true,false,true,false,true,true
61,West,Grcic,30,Male,0.25,2.29,8.52,0.54,2.34,0.82,0.87,0.77,0.17,0.43,auditivo,resúmenes,8,true,false,false,true,false,false,false,true
62,Oberon,Baline,28,Male,3.8,6.5,8.26,5.29,9.05,0.04,0.67,0.88,0.83,0.22,otro,técnica Pomodoro,5,false,false,false,false,true,false,false,false
63,Dar,Soreau,37,Male,2.03,6.7,1.92,2.11,9.12,0.94,0.6,0.14,0.5,0.51,visual,mapas mentales,7,true,false,false,true,false,true,false,true
64,Edy,Issacov,20,Female,4.66,1.55,3.6,0.3,6.59,0.76,0.43,0.86,0.22,0.58,otro,autoevaluación y pruebas prácticas,5,true,false,false,true,false,false,false,true
65,Hermon,Bachman,21,Male,9.42,2.82,1.22,7.89,8.8,0.97,0.26,0.53,0.65,0.25,otro,uso de tecnología,4,true,true,true,true,true,false,false,true
66,Marsh,Demann,32,Male,2.02,8.9,5.67,3.53,6.03,0.18,0.98,0.01,0.08,0.54,kinestésico,grupos de estudio,4,true,true,false,false,false,false,false,true
67,Teresita,Paula,38,Female,2.05,1.34,4.53,5.59,7.31,0.65,0.03,0.49,0.38,0.06,otro,grupos de estudio,0,false,false,true,true,true,true,false,true
68,Kerwinn,Ragbourne,29,Male,8.55,9.54,5.28,8.05,3.58,0.92,0.61,0.65,0.8,0.11,auditivo,técnica Pomodoro,2,true,false,false,true,true,false,false,false
69,Ramonda,Androck,20,Female,5.46,3.77,5.49,4.03,7.9,0.17,0.49,0.05,0.08,0.46,Multimodal,lectura activa,7,false,false,true,false,true,false,true,false
